GDPC1,GDPC1_diff,GDPC1_sma_3,GDPC1_sma_5,GDPC1_ewm,CPIAUCSL,CPIAUCSL_diff,CPIAUCSL_sma_3,CPIAUCSL_sma_5,CPIAUCSL_ewm,UNRATE,UNRATE_diff,UNRATE_sma_3,UNRATE_sma_5,UNRATE_ewm,PAYEMS,PAYEMS_diff,PAYEMS_sma_3,PAYEMS_sma_5,PAYEMS_ewm,RRSFS,RRSFS_diff,RRSFS_sma_3,RRSFS_sma_5,RRSFS_ewm,GFDEBTN,GFDEBTN_diff,GFDEBTN_sma_3,GFDEBTN_sma_5,GFDEBTN_ewm,VIXCLS,VIXCLS_diff,VIXCLS_sma_3,VIXCLS_sma_5,VIXCLS_ewm,prob_topic_1,prob_topic_2,prob_topic_3,prob_topic_4,prob_topic_5,prob_topic_6,sentiments,target
15318.480333333331,0.051517709590931514,15310.592666666666,15300.301799999997,15283.867684747693,201.8,0.24838549428713363,201.26666666666665,200.57999999999998,199.6752090498807,4.6,0.0,4.633333333333333,4.68,4.772351518759017,136325.0,0.05945215936114619,136258.0,136111.6,135822.87973222078,177343.0,0.08069977426636568,177543.66666666666,177723.6,177846.40028261408,8477996.666666666,0.34296682478888185,8449019.333333334,8427651.2,8396847.613395706,13.08,-20.437956204379567,13.703333333333333,12.968,12.493353125051975,1.027024950417399e-06,0.0056649497710168,1.027024950417399e-06,0.9923207759857178,0.000147745857248,0.0018644880037754,0.6,0
15326.368,0.05149118251309511,15318.480333333333,15309.7916,15285.940870857561,202.9,0.5450941526263599,202.0,201.28000000000003,199.83251592549627,4.7,2.1739130434782727,4.633333333333334,4.659999999999999,4.768822176380528,136520.0,0.1430405281496424,136363.0,136268.2,135856.8855989417,176937.0,-0.22893488888763586,177160.0,177533.6,177802.03929321826,8506974.0,0.34179458276110775,8477996.666666666,8451555.733333332,8402219.632254452,14.95,14.296636085626904,14.823333333333332,13.49,12.613189557976268,3.974326148181717e-07,0.0730565190315246,0.3497380316257477,3.974326148181717e-07,0.0878380686044693,0.4893665909767151,0.0,1
15369.888,0.28395507663655495,15338.245444444445,15325.6068,15290.035852766947,203.8,0.4435682602267154,202.83333333333334,202.1,200.02605173400863,4.7,0.0,4.666666666666667,4.66,4.765464997044893,136694.0,0.12745385291532377,136513.0,136397.6,135897.7204477738,176983.0,0.025997954074048958,177087.66666666666,177310.2,177762.08615696372,8564724.0,0.6788547843216636,8516564.888888888,8483751.2,8410146.674583502,12.31,-17.658862876254172,13.446666666666667,13.674000000000001,12.59839982344084,3.292580004199408e-07,0.6020908355712891,0.0446656495332717,0.0476664714515209,0.0492938719689846,0.2562828063964844,0.0,0
15413.408,0.28315105484176994,15369.888,15347.747399999998,15296.05400629051,202.8,-0.4906771344455348,203.16666666666666,202.52000000000004,200.16136628356918,4.5,-4.255319148936174,4.633333333333333,4.62,4.752515484993922,136843.0,0.10900258972595725,136685.66666666666,136525.2,135943.83164544337,177002.0,0.010735494369515717,176974.0,177093.0,177725.0087834533,8622474.0,0.6742774197977658,8564724.0,8524237.6,8420504.105091624,11.98,-2.6807473598700247,13.08,13.752,12.568233978394945,2.579949409664551e-07,0.0762802213430404,0.1213048547506332,0.0108682895079255,0.0483390688896179,0.7432073354721069,0.1,1
15456.928,0.2823515733833844,15413.408000000001,15377.014466666666,15303.901518178776,201.9,-0.4437869822485235,202.83333333333334,202.64000000000001,200.24617768437068,4.4,-2.2222222222222143,4.533333333333334,4.58,4.7353196076771455,136852.0,0.006576880074245669,136796.33333333334,136646.8,135988.13254078757,177544.0,0.30621122925164684,177176.33333333334,177161.8,177716.17908669947,8680224.0,0.6697613701125686,8622474.0,8570478.533333333,8433173.368257886,11.1,-7.345575959933229,11.796666666666667,12.684000000000001,12.496612808717142,1.209155698234099e-06,0.0573758520185947,0.0183563623577356,0.8510056734085083,0.0115975774824619,0.0616632997989654,-0.3,-1
15469.061333333331,0.0784977023463614,15446.465777777776,15407.130666666668,15311.958094527778,202.0,0.04952947003466781,202.23333333333335,202.68,200.33172999245014,4.5,2.2727272727272645,4.466666666666668,4.5600000000000005,4.723840602424602,137063.0,0.154181159208488,136919.33333333334,136794.4,136040.56509977352,177854.0,0.17460460505564818,177466.66666666666,177264.0,177722.90205807996,8736704.333333334,0.6506782927875359,8679800.777777778,8622220.066666666,8447979.756798152,10.91,-1.7117117117117073,11.33,12.25,12.419217061950452,4.0246541743726993e-07,0.1278953701257705,0.173200711607933,1.4951484445191454e-05,0.3483226597309112,0.3505659401416778,-0.1,0
15481.194666666666,0.07843613178512425,15469.061333333331,15438.096,15320.213537071138,203.1,0.5445544554455417,202.33333333333334,202.71999999999997,200.46676755379403,4.4,-2.2222222222222143,4.433333333333334,4.500000000000001,4.708043499867304,137249.0,0.13570401931958298,137054.66666666666,136940.2,136099.513143687,179089.0,0.6943897803816614,178162.33333333334,177694.4,177789.54098207603,8793184.666666666,0.6464718408501187,8736704.333333334,8679462.2,8464819.020694176,11.56,5.957836846929426,11.19,11.572,12.377304034538234,1.1239537798246602e-06,0.0373907275497913,1.1239537798246602e-06,0.8929621577262878,0.0024614948779344,0.0671833381056785,0.2,-1
15493.328,0.07837465773528511,15481.194666666664,15462.784,15328.658145018888,203.437,0.16592811422945225,202.8456666666667,202.6474,200.61165694141383,4.6,4.545454545454529,4.5,4.4799999999999995,4.702773085239631,137477.0,0.16612142893572995,137263.0,137096.8,136166.70762448278,178736.0,-0.19710870014350407,178559.66666666666,178045.0,177835.70971465769,8849665.0,0.6423194266286757,8793184.666666666,8736450.4,8483591.99529446,10.42,-9.861591695501733,10.963333333333333,11.193999999999999,12.281825788951002,2.3871251642049174e-07,0.0375094041228294,0.2759504616260528,0.0012630176497623,0.0195086393505334,0.6657682061195374,0.1,1
15522.913666666664,0.1909574667667535,15499.145444444444,15484.685133333332,15338.134024123658,204.226,0.38783505458691747,203.58766666666668,202.9326,200.7879663589058,4.5,-2.173913043478253,4.5,4.4799999999999995,4.692881715227942,137558.0,0.05891894644195029,137428.0,137239.8,136234.5755452397,178237.0,-0.2791827052188703,178687.33333333334,178292.0,177855.28485052803,8855669.0,0.06784437603005311,8832839.555555554,8783089.4,8501742.093084974,15.42,47.98464491362764,12.466666666666669,11.882,12.434907457782659,1.884237974536518e-07,0.083027184009552,0.0138446893543004,0.142874538898468,0.0045534181408584,0.7556999921798706,0.0,1
15552.499333333331,0.19059351422020032,15522.913666666665,15503.7994,15348.590868475349,205.288,0.5200121434097578,204.317,203.6102,201.00748019505673,4.4,-2.2222222222222143,4.5,4.48,4.678594802289993,137793.0,0.17083702874423878,137609.33333333334,137428.0,136310.59625034995,178850.0,0.34392410105645854,178607.66666666666,178553.2,177903.80754074617,8861673.0,0.06779837864310422,8855669.0,8819379.2,8519299.698300341,14.64,-5.05836575875486,13.493333333333334,12.59,12.54247294764692,1.147282659985649e-06,0.0005234309937804,1.147282659985649e-06,0.9966490268707277,1.147282659985649e-06,0.0028240696992725,0.4,-1
