GDPC1,CPIAUCSL,UNRATE,PAYEMS,RRSFS,GFDEBTN,VIXCLS,prob_topic_1,prob_topic_2,prob_topic_3,prob_topic_4,prob_topic_5,prob_topic_6,sentiments,target
15731.772333333334,210.834,4.7,138284.0,179696.0,9298646.0,22.87,3.819924927483953e-07,0.7202945351600647,0.0153071517124772,0.0071910987608134,0.0755222737789154,0.1816845536231994,-0.1,1
15701.577666666666,211.445,5.0,138392.0,177019.0,9368120.0,22.5,2.384774688835023e-07,0.4460217356681824,0.0566379949450492,0.0035142791457474,0.3972204029560089,0.0966053232550621,0.1,-1
15671.383,212.174,5.0,138403.0,176853.0,9437594.0,26.2,7.176790859375615e-07,0.055584080517292,7.176790859375615e-07,0.9349331259727478,0.0012426885077729,0.0082386322319507,-0.2,1
15698.358,212.687,4.9,138324.0,174826.0,9455731.333333334,26.54,2.6350514303885575e-07,0.819437563419342,0.0052193156443536,0.142723724246025,0.0047669215127825,0.0278522241860628,0.0,-1
15725.333,213.448,5.1,138275.0,174630.0,9473868.666666666,25.61,4.791854166796838e-07,0.0073545654304325,4.791854166796838e-07,0.99230694770813,4.791854166796838e-07,0.0003370309714227,-0.1,-1
15752.308,213.942,5.0,138035.0,174146.0,9492006.0,20.79,2.0470686479256986e-07,0.820952832698822,0.017699534073472,0.0978454425930976,0.0309687536209821,0.032533261924982,-0.2,-1
15723.882666666666,215.208,5.4,137858.0,174731.0,9669579.0,17.83,2.335616926529838e-07,0.2748008966445923,0.0133733730763196,0.0541549772024154,0.005772802978754,0.6518977284431458,0.1,-1
15695.457333333334,217.463,5.6,137687.0,173112.0,9847152.0,23.95,8.681145686750824e-07,0.003824648912996,8.681145686750824e-07,0.9947919249534608,8.681145686750824e-07,0.0013808803632855,0.2,1
15667.032,219.016,5.8,137491.0,171238.0,10024725.0,22.94,4.175254559868337e-07,0.7988052368164062,0.1103865280747413,0.0007109532598406,0.0166638903319835,0.0734330043196678,-0.1,-1
15554.030333333332,218.69,6.1,137213.0,170234.0,10249751.666666666,20.65,5.258702344690391e-07,0.9551569223403932,0.0243915785104036,0.0020047165453433,0.0036755118053406,0.0147707862779498,-0.1,-1
15441.028666666669,218.877,6.1,136753.0,167550.0,10474778.333333334,39.39,2.689701261715527e-07,0.9651496410369872,0.0112498542293906,0.0130733409896492,0.0025570038706064,0.0079698711633682,-0.1,1
15328.027,216.995,6.5,136272.0,162654.0,10699805.0,59.89,1.0276131661157706e-06,0.0515782497823238,1.0276131661157706e-06,0.9480846524238586,1.0276131661157706e-06,0.0003340442199259,-0.1,-1
15270.664666666667,213.153,6.8,135545.0,159205.0,10842183.666666666,55.28,2.221010504399601e-07,0.7512650489807129,0.139485165476799,0.0125526338815689,0.0049749254249036,0.0917220488190651,0.0,1
15213.302333333331,211.398,7.3,134839.0,157093.0,10984562.333333334,40.0,2.531958784857125e-07,0.9321324229240416,0.048499409109354,0.0021346062421798,0.0022629350423812,0.014970370568335,0.0,-1
15155.94,211.933,7.8,134055.0,158979.0,11126941.0,44.84,1.0427336292195832e-06,0.0665958002209663,1.0427336292195832e-06,0.9320561289787292,1.0427336292195832e-06,0.001344982185401,0.0,1
15148.665666666668,212.705,8.3,133312.0,157766.0,11266385.666666666,46.35,1.800640632154682e-07,0.5754636526107788,0.0043690470047295,0.2941347658634186,0.0005470247124321,0.1254853308200836,0.1,-1
15141.391333333331,212.495,8.7,132512.0,155179.0,11405830.333333334,44.14,2.267387202437021e-07,0.8976781368255615,0.0090709496289491,0.0812715664505958,0.0008447213331237,0.0111344438046216,-0.1,-1
15134.117,212.709,9.0,131817.0,155777.0,11545275.0,36.5,1.3060758874416931e-06,0.036837600171566,1.3060758874416931e-06,0.9568432569503784,2.50819357461296e-05,0.0062914891168475,0.1,1
15152.485333333334,213.022,9.4,131475.0,156911.0,11666792.666666666,28.92,2.1238085423647135e-07,0.6179583072662354,0.0967411324381828,0.1365721523761749,0.0062223668210208,0.1425058543682098,0.2,-1
15170.853666666666,214.79,9.5,131008.0,158240.0,11788310.333333334,26.35,6.926604783075163e-07,6.926604783075163e-07,6.926604783075163e-07,0.999996542930603,6.926604783075163e-07,6.926604783075163e-07,0.1,1
15189.222,214.726,9.5,130668.0,158582.0,11909828.0,25.92,3.0277212204055104e-07,0.7972924709320068,0.0510478839278221,0.1025779694318771,0.0064374604262411,0.0426438488066196,-0.1,-1
15244.834,215.445,9.6,130485.0,160908.0,12043668.333333334,26.01,2.676053725281236e-07,0.4800796508789062,0.196468099951744,0.0132093112915754,0.071387879550457,0.2388548403978347,0.0,-1
15300.446,215.861,9.8,130244.0,156817.0,12177508.666666666,25.61,5.357355803425889e-07,0.0019632633775472,5.357355803425889e-07,0.9980345964431764,5.357355803425889e-07,5.357355803425889e-07,0.3,-1
15356.058,216.509,10.0,130045.0,157801.0,12311349.0,30.69,2.542775803249242e-07,0.6448918581008911,0.140325129032135,0.1024595275521278,0.0157880950719118,0.096535176038742,-0.1,1
15375.753666666667,217.234,9.9,130057.0,158527.0,12465273.666666666,24.51,2.6282114617970365e-07,0.5243415236473083,0.2322544157505035,0.0365245565772056,0.0324775204062461,0.1744017452001571,0.0,1
15395.449333333334,217.347,9.9,129788.0,159226.0,12619198.333333334,21.68,2.260480442828339e-07,0.4000439941883087,0.3828778862953186,0.0112813981249928,0.0205296371132135,0.185266837477684,0.0,-1
15415.145,217.488,9.8,129790.0,159176.0,12773123.0,24.62,6.320794341263536e-07,0.0012449870118871,6.320794341263536e-07,0.9987525343894958,6.320794341263536e-07,6.320794341263536e-07,-0.3,1
15462.522333333334,217.281,9.8,129698.0,159603.0,12916012.666666666,19.5,2.8779064109585306e-07,0.1940273940563202,0.0919493362307548,0.372894138097763,0.0242996159940958,0.3168291747570038,-0.1,1
15509.899666666666,217.353,9.9,129879.0,163148.0,13058902.333333334,17.59,2.3211461552818946e-07,0.287113219499588,0.2089945971965789,0.136872723698616,0.0920893400907516,0.2749298810958862,-0.1,-1
15557.277,217.403,9.9,130110.0,164335.0,13201792.0,22.05,8.970426961241174e-07,0.0184648111462593,8.970426961241174e-07,0.9794652462005616,8.970426961241174e-07,0.0020672329701483,0.4,1
15595.507,217.29,9.6,130650.0,162923.0,13321735.333333334,32.07,2.858379559711466e-07,0.2155714035034179,0.2304666489362716,0.0115904510021209,0.0125019745901227,0.5298692584037781,-0.1,-1
15633.737,217.199,9.4,130511.0,163043.0,13441678.666666666,34.54,7.353374940066715e-07,0.0005671373801305,7.353374940066715e-07,0.999342143535614,7.353374940066715e-07,8.849184814607725e-05,0.2,-1
15671.967,217.605,9.4,130427.0,162946.0,13561622.0,23.5,3.619245489971945e-07,0.0745629668235778,0.3896360099315643,0.0019487235695123,0.2047625035047531,0.3290894329547882,-0.1,1
15698.186333333331,217.923,9.5,130422.0,163703.0,13716153.0,26.05,2.892198551762704e-07,0.1689938157796859,0.1192270964384079,0.2704431116580963,0.0506554320454597,0.3906802237033844,-0.1,1
15724.405666666667,218.275,9.5,130357.0,164608.0,13870684.0,23.7,1.2028883702441815e-06,0.0018923935713246,0.0468540713191032,0.8724836111068726,0.0018078084103763,0.0769608989357948,-0.1,-1
15750.625,219.035,9.4,130625.0,165965.0,14025215.0,21.2,2.3317815589507526e-07,0.0303371921181678,0.235209584236145,0.0228254459798336,0.0208603013306856,0.6907672882080078,0.3,1
15738.001333333334,219.59,9.8,130750.0,167287.0,14106848.0,23.54,3.90652758142096e-07,0.1002348586916923,0.2347204089164734,0.0302777606993913,0.1319071650505066,0.5028594136238098,0.1,0
15725.377666666667,220.472,9.3,130822.0,167481.0,14188481.0,17.75,2.230336519915e-07,0.0363476574420928,0.4643833041191101,0.0028679396491497,0.0208334792405366,0.4755673706531524,0.1,-1
15712.754,221.187,9.1,130841.0,168092.0,14270114.0,19.53,8.326662168656185e-07,0.0026158029213547,7.272621587617323e-05,0.9880141615867616,7.715096580795944e-05,0.0092193139716982,-0.1,1
15750.201333333334,221.898,9.0,131053.0,169022.0,14294438.333333334,18.35,3.115289928246057e-07,0.054975900799036,0.2985861599445343,0.0092009678483009,0.5568087697029114,0.0804279074072837,0.1,-1
15787.648666666666,223.046,9.0,131288.0,169683.0,14318762.666666666,17.74,1.9664648220896202e-07,0.1197930723428726,0.3753042817115783,0.1893142163753509,0.0586687847971916,0.2569194436073303,0.0,-1
15825.096,224.093,9.1,131602.0,169917.0,14343087.0,14.75,1.7089082575694192e-06,1.7089082575694192e-06,1.7089082575694192e-06,0.9999914765357972,1.7089082575694192e-06,1.7089082575694192e-06,0.1,-1
